single1	single2
OS03G19560	SB01G037380
OS12G38630	SB08G019070
OS08G31460	SB07G020060
OS08G16880	SB07G010230
OS08G37874	SB07G029030
OS01G09120	SB03G003350
OS01G64030	SB03G040540
OS06G30710	SB02G039100
OS03G58710	SB01G004830
OS03G21980	SB01G035980
OS02G40510	SB04G026190
OS03G10990	SB01G043410
OS01G12670	SB03G001120
OS01G56460	SB03G035870
OS01G18320	SB03G011670
OS12G43590	SB04G004300
OS01G56290	SB07G013041
OS03G18210	SB01G038370
OS10G37490	SB01G016980
OS07G42180	SB02G039095
OS05G14170	SB09G007880
OS11G20689	SB07G026060
OS02G12740	SB04G006960
OS01G47650	SB03G030590
OS12G29760	SB08G014630
OS01G72880	SB03G046470
OS11G38260	SB05G023220
OS06G09840	SB10G006470
OS08G44250	SB07G024460
OS10G35140	SB01G018390
OS06G05240	SB10G003060
OS01G40710	SB03G026510
OS07G37400	SB02G036360
OS03G04400	SB01G047860
OS03G22320	SB01G035770
OS08G39880	SB07G027750
OS05G45890	SB09G026710
OS04G57950	SB06G032850
OS01G42470	SB03G027560
OS05G32120	SB09G019070
OS01G07382	SB03G004660
OS04G58350	SB06G033130
OS03G50080	SB01G010600
OS01G48990	SB09G000560
OS08G02550	SB07G002000
OS02G16550	SB04G009820
OS03G17070	SB01G039270
OS07G30300	SB02G033540
OS04G54410	SB06G030050
OS06G36450	SB10G022120
OS04G53700	SB06G029440
OS07G12220	SB02G006600
OS03G15580	SB01G040350
OS08G05630	SB07G003440
OS08G14770	SB01G043690
OS01G49680	SB03G031750
OS01G72090	SB03G045760
OS03G20680	SB01G036790
OS01G01680	SB03G008720
OS04G31000	SB06G013020
OS05G30190	SB09G018130
OS08G37310	SB07G023310
OS11G33090	SB05G020350
OS01G54630	SB03G034690
OS04G35910	SB06G017370
OS03G21530	SB01G036270
OS02G44220	SB04G032760
OS03G11120	SB01G043330
OS06G37600	SB10G022650
OS01G65730	SB03G041640
OS07G06820	SB07G026240
OS06G49150	SB10G029290
OS02G04240	SB04G002840
OS11G05870	SB05G003640
OS01G21610	SB03G013060
OS02G42960	SB04G033580
OS02G36390	SB04G023690
OS07G36200	SB02G035710
OS02G56160	SB04G036460
OS01G59490	SB03G037590
OS06G50146	SB10G030175
OS10G25200	SB01G023540
OS03G55784	SB01G007010
OS09G01360	SB02G013000
OS08G40870	SB07G027040
OS02G09530	SB04G006000
OS11G13850	SB03G044430
OS09G25950	SB02G025260
OS01G67870	SB03G043150
OSMG00240	SBMG00120
OS08G45040	SB07G023720
OS02G08380	SB04G005460
OS01G47550	SB03G030470
OS07G34598	SB02G035180
OS02G51820	SB04G027520
OS01G64690	SB03G040930
OS12G37960	SB08G018560
OS02G47850	SB04G030390
OS03G52640	SB01G008850
OS01G63260	SB03G040050
OS10G35380	SB01G018220
OS05G33280	SB09G019720
OS06G14740	SB10G009360
OS06G29430	SB10G014230
OS04G41920	SB06G021410
OS01G68760	SB03G043740
OS02G38300	SB04G024940
OS08G40230	SB03G043360
OS02G33010	SB04G021710
OS08G34220	SB07G021640
OS01G54540	SB03G034620
OS04G41330	SB06G021000
OS03G21370	SB01G036400
OS09G19940	SB02G023040
OS03G12930	SB01G042060
OS01G22390	SB03G013240
OS09G38740	SB02G032740
OSCG00680	SBCG00680
